ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
16435,21.0,299.1,415,32,186.7,415,1.6020353508302092
17021,21.0,298.8,438,33,185.0,438,1.6151351351351353
17411,21.0,295.9,435,34,178.8,435,1.6549217002237133
17962,21.0,295.4,430,35,180.8,430,1.6338495575221237
18520,21.0,297.0,444,36,182.2,444,1.6300768386388584
18976,21.0,295.4,487,37,181.5,487,1.627548209366391
19526,21.0,296.3,495,38,182.7,495,1.6217843459222772
20056,21.0,296.0,495,39,184.0,495,1.608695652173913
20615,21.0,293.8,475,40,180.3,475,1.629506378258458
21035,21.0,295.0,474,41,183.7,474,1.6058791507893306
21579,21.0,292.9,464,42,181.5,464,1.6137741046831955
22219,21.0,290.8,493,43,180.0,493,1.6155555555555556
22731,21.0,286.9,474,44,176.0,474,1.6301136363636362
23309,21.0,296.6,477,45,177.8,477,1.6681664791901012
23748,21.0,302.6,495,46,181.3,495,1.6690568119139548
24245,21.0,300.3,492,47,179.8,492,1.6701890989988877
24819,21.0,298.4,484,48,180.6,484,1.6522702104097453
25350,21.0,299.2,493,49,179.1,493,1.670575097710776
25998,21.0,307.7,482,50,182.0,482,1.6906593406593406
26443,21.0,307.2,507,51,181.4,507,1.693495038588754
27119,21.0,303.7,517,52,177.8,517,1.7080989876265464
27635,21.0,306.3,522,53,181.4,522,1.6885336273428886
28207,21.0,299.1,530,54,180.5,530,1.6570637119113574
28772,21.0,305.1,516,55,184.9,516,1.650081124932396
29397,21.0,302.4,521,56,188.2,521,1.6068012752391072
29736,21.0,293.6,542,57,185.5,542,1.5827493261455527
30312,21.0,298.5,517,58,186.3,517,1.6022544283413849
30903,21.0,295.3,528,59,185.7,528,1.5901992460958536
31467,21.0,293.7,530,60,187.6,530,1.5655650319829424
7855,22.0,200.6,154,15,139.0,154,1.4431654676258991
8384,22.0,198.3,147,16,139.4,147,1.4225251076040173
8884,22.0,192.8,140,17,136.9,140,1.408327246165084
9225,22.0,212.5,191,18,141.1,191,1.5060240963855422
